#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  beta       799.000       25.700909
CI  beta       800.000       25.604418
CI  beta       801.000       25.509049
CI  beta       802.000       25.414055
CI  beta       803.000       25.319060
CI  beta       804.000       25.224813
CI  beta       805.000       25.130941
CI  beta       806.000       25.037816
CI  beta       807.000       24.945065
CI  beta       808.000       24.852315
CI  beta       809.000       24.760686
CI  beta       810.000       24.669431
CI  beta       811.000       24.578177
CI  beta       812.000       24.487296
CI  beta       813.000       24.397163
CI  beta       814.000       24.307779
CI  beta       815.000       24.218394
CI  beta       816.000       24.129383
CI  beta       817.000       24.041495
CI  beta       818.000       23.953606
CI  beta       819.000       23.865717
CI  beta       820.000       23.778576
CI  beta       821.000       23.691810
CI  beta       822.000       23.605417
CI  beta       823.000       23.519772
CI  beta       824.000       23.434501
CI  beta       825.000       23.349605
CI  beta       826.000       23.265082
CI  beta       827.000       23.180559
CI  beta       828.000       23.096784
CI  beta       829.000       23.013383
CI  beta       830.000       22.930357
CI  beta       831.000       22.848078
CI  beta       832.000       22.765799
CI  beta       833.000       22.683894
CI  beta       834.000       22.602363
CI  beta       835.000       22.521581
CI  beta       836.000       22.441172
CI  beta       837.000       22.360389
CI  beta       838.000       22.280728
CI  beta       839.000       22.201441
CI  beta       840.000       22.122154
CI  beta       841.000       22.043615
CI  beta       842.000       21.965077
CI  beta       843.000       21.886912
CI  beta       844.000       21.809495
CI  beta       845.000       21.732452
CI  beta       846.000       21.655409
CI  beta       847.000       21.578740
CI  beta       848.000       21.502819
CI  beta       849.000       21.426898
CI  beta       850.000       21.351351
CI  beta       851.000       21.276553
CI  beta       852.000       21.201754
CI  beta       853.000       21.127329
CI  beta       854.000       21.053278
CI  beta       855.000       20.979227
CI  beta       856.000       20.905924
CI  beta       857.000       20.833369
CI  beta       858.000       20.760440
CI  beta       859.000       20.687885
CI  beta       860.000       20.616078
CI  beta       861.000       20.544645
CI  beta       862.000       20.473212
CI  beta       863.000       20.402153
CI  beta       864.000       20.331468
CI  beta       865.000       20.260783
CI  beta       866.000       20.190846
CI  beta       867.000       20.121657
CI  beta       868.000       20.052094
CI  beta       869.000       19.982905
CI  beta       870.000       19.914090
CI  beta       871.000       19.845649
CI  beta       872.000       19.777582
CI  beta       873.000       19.709515
CI  beta       874.000       19.642570
CI  beta       875.000       19.575251
CI  beta       876.000       19.507932
CI  beta       877.000       19.441735
CI  beta       878.000       19.375538
CI  beta       879.000       19.309341
CI  beta       880.000       19.243518
CI  beta       881.000       19.178443
CI  beta       882.000       19.113368
CI  beta       883.000       19.048293
CI  beta       884.000       18.983966
CI  beta       885.000       18.919639
CI  beta       886.000       18.855685
CI  beta       887.000       18.792106
CI  beta       888.000       18.728901
CI  beta       889.000       18.666070
CI  beta       890.000       18.602865
CI  beta       891.000       18.540408
CI  beta       892.000       18.478325
CI  beta       893.000       18.416242
CI  beta       894.000       18.354907
CI  beta       895.000       18.293198
CI  beta       896.000       18.232236
CI  beta       897.000       18.171649
CI  beta       898.000       18.110688
CI  beta       899.000       18.050475
CI  beta       900.000       17.990262
