#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  delta       558.000       149.86188
CI  delta       559.000       149.06228
CI  delta       560.000       148.26791
CI  delta       561.000       147.47953
CI  delta       562.000       146.69639
CI  delta       563.000       145.91923
CI  delta       564.000       145.14655
CI  delta       565.000       144.37987
CI  delta       566.000       143.61841
CI  delta       567.000       142.86220
CI  delta       568.000       142.11196
CI  delta       569.000       141.36696
CI  delta       570.000       140.62646
CI  delta       571.000       139.89193
CI  delta       572.000       139.16189
CI  delta       573.000       138.43709
CI  delta       574.000       137.71753
CI  delta       575.000       137.00245
CI  delta       576.000       136.29261
CI  delta       577.000       135.58725
CI  delta       578.000       134.88713
CI  delta       579.000       134.19225
CI  delta       580.000       133.50186
CI  delta       581.000       132.81595
CI  delta       582.000       132.13453
CI  delta       583.000       131.45760
CI  delta       584.000       130.78591
CI  delta       585.000       130.11870
CI  delta       586.000       129.45673
CI  delta       587.000       128.79850
CI  delta       588.000       128.14401
CI  delta       589.000       127.49476
CI  delta       590.000       126.84999
CI  delta       591.000       126.20896
CI  delta       592.000       125.57317
CI  delta       593.000       124.94112
CI  delta       594.000       124.31281
CI  delta       595.000       123.68899
CI  delta       596.000       123.06965
CI  delta       597.000       122.45406
CI  delta       598.000       121.84295
CI  delta       599.000       121.23633
CI  delta       600.000       120.63270
CI  delta       601.000       120.03357
CI  delta       602.000       119.43817
CI  delta       603.000       118.84725
CI  delta       604.000       118.26008
CI  delta       605.000       117.67665
CI  delta       606.000       117.09696
CI  delta       607.000       116.52026
CI  delta       608.000       115.94805
CI  delta       609.000       115.37958
CI  delta       610.000       114.81484
CI  delta       611.000       114.25460
CI  delta       612.000       113.69735
CI  delta       613.000       113.14384
CI  delta       614.000       112.59332
CI  delta       615.000       112.04654
CI  delta       616.000       111.50350
CI  delta       617.000       110.96345
CI  delta       618.000       110.42789
CI  delta       619.000       109.89532
CI  delta       620.000       109.36574
CI  delta       621.000       108.84065
CI  delta       622.000       108.31781
CI  delta       623.000       107.79871
CI  delta       624.000       107.28334
CI  delta       625.000       106.77022
CI  delta       626.000       106.26159
CI  delta       627.000       105.75520
CI  delta       628.000       105.25255
CI  delta       629.000       104.75289
