#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  alpha       772.000       14.272382
CI  alpha       773.000       14.217031
CI  alpha       774.000       14.161679
CI  alpha       775.000       14.107076
CI  alpha       776.000       14.052847
CI  alpha       777.000       13.998618
CI  alpha       778.000       13.944762
CI  alpha       779.000       13.890907
CI  alpha       780.000       13.837800
CI  alpha       781.000       13.785067
CI  alpha       782.000       13.731960
CI  alpha       783.000       13.679226
CI  alpha       784.000       13.627241
CI  alpha       785.000       13.575256
CI  alpha       786.000       13.523645
CI  alpha       787.000       13.472033
CI  alpha       788.000       13.420796
CI  alpha       789.000       13.369933
CI  alpha       790.000       13.319070
CI  alpha       791.000       13.268954
CI  alpha       792.000       13.218465
CI  alpha       793.000       13.169098
CI  alpha       794.000       13.118982
CI  alpha       795.000       13.069615
CI  alpha       796.000       13.020622
CI  alpha       797.000       12.971629
CI  alpha       798.000       12.922635
CI  alpha       799.000       12.874764
CI  alpha       800.000       12.826145
CI  alpha       801.000       12.778273
CI  alpha       802.000       12.730776
CI  alpha       803.000       12.683279
CI  alpha       804.000       12.635781
CI  alpha       805.000       12.589032
CI  alpha       806.000       12.541909
CI  alpha       807.000       12.495907
CI  alpha       808.000       12.449158
CI  alpha       809.000       12.403157
CI  alpha       810.000       12.357529
CI  alpha       811.000       12.311902
CI  alpha       812.000       12.266275
CI  alpha       813.000       12.221021
CI  alpha       814.000       12.176142
CI  alpha       815.000       12.131637
CI  alpha       816.000       12.086757
CI  alpha       817.000       12.042626
CI  alpha       818.000       11.998869
CI  alpha       819.000       11.954737
CI  alpha       820.000       11.910980
CI  alpha       821.000       11.867596
CI  alpha       822.000       11.824213
CI  alpha       823.000       11.781204
CI  alpha       824.000       11.738568
CI  alpha       825.000       11.695933
CI  alpha       826.000       11.653672
CI  alpha       827.000       11.611410
CI  alpha       828.000       11.569149
CI  alpha       829.000       11.527635
CI  alpha       830.000       11.485748
CI  alpha       831.000       11.444609
CI  alpha       832.000       11.403469
CI  alpha       833.000       11.362330
CI  alpha       834.000       11.321564
CI  alpha       835.000       11.280799
CI  alpha       836.000       11.240782
CI  alpha       837.000       11.200390
CI  alpha       838.000       11.159999
CI  alpha       839.000       11.120729
CI  alpha       840.000       11.080712
CI  alpha       841.000       11.041442
CI  alpha       842.000       11.002173
CI  alpha       843.000       10.962904
CI  alpha       844.000       10.924008
CI  alpha       845.000       10.885487
